"","Nest","maxclutch","Init","year","site"
"255","TLM049",6,146,1996,"kig"
"256","TLM050",5,145,1996,"kig"
"257","TLM051",6,145,1996,"kig"
"258","TLM052",6,144,1996,"kig"
"259","TLM053",6,148,1996,"kig"
"260","TLM054",5,145,1996,"kig"
"261","TLM055",6,139,1996,"kig"
"262","TLM056",6,143,1996,"kig"
"263","TLM057",4,143,1996,"kig"
"264","TLM058",5,143,1996,"kig"
"265","TLM060",5,149,1996,"kig"
"266","TLM063",5,146,1996,"kig"
"267","TLM064",1,150,1996,"kig"
"268","TLM067",6,141,1996,"kig"
"269","TLM069",5,144,1996,"kig"
"270","TLM070",5,143,1996,"kig"
"271","TLM072",5,145,1996,"kig"
"272","TLM073",5,145,1996,"kig"
"273","TLM074",5,148,1996,"kig"
"274","TLM075",6,148,1996,"kig"
"275","TLM080",5,149,1996,"kig"
"276","TLM082",5,143,1996,"kig"
"277","TLM083",4,149,1996,"kig"
"278","TLM084",6,152,1996,"kig"
"279","TLM085",4,147,1996,"kig"
"280","TLM086",5,144,1996,"kig"
"281","TLM087",4,144,1996,"kig"
"282","TLM088",4,147,1996,"kig"
"283","TLM089",6,150,1996,"kig"
"284","TLM094",6,155,1996,"kig"
"285","TLM095",5,146,1996,"kig"
"286","TLM096",3,153,1996,"kig"
"287","TLM097",5,150,1996,"kig"
"288","TLM098",5,147,1996,"kig"
"289","TLM099",4,155,1996,"kig"
"290","TLM100",5,144,1996,"kig"
"291","TLM102",4,145,1996,"kig"
"292","TLM103",5,149,1996,"kig"
"293","TLM104",4,139,1996,"kig"
"294","TLM105",4,159,1996,"kig"
"295","TLM107",5,147,1996,"kig"
"296","TLM108",6,151,1996,"kig"
"297","TLM109",2,151,1996,"kig"
"298","TLM110",5,143,1996,"kig"
"299","TLM114",5,150,1996,"kig"
"300","TLM115",2,159,1996,"kig"
"301","EFS001",5,135,1997,"kig"
"302","EFS004",6,135,1997,"kig"
"303","EFS011",5,140,1997,"kig"
"304","EFS013",5,137,1997,"kig"
"305","EFS018",6,135,1997,"kig"
"306","EFS020",4,141,1997,"kig"
"307","EFS022",6,136,1997,"kig"
"308","EFS023",4,143,1997,"kig"
"309","EFS025",4,134,1997,"kig"
"310","EFS026",5,143,1997,"kig"
"311","EFS028",6,137,1997,"kig"
"312","EFS029",6,145,1997,"kig"
"313","EFS030",4,142,1997,"kig"
"314","EFS032",4,139,1997,"kig"
"315","EFS033",4,137,1997,"kig"
"316","EFS034",5,138,1997,"kig"
"317","EFS035",5,141,1997,"kig"
"318","EFS037",6,147,1997,"kig"
"319","EFS038",4,147,1997,"kig"
"320","EFS042",6,139,1997,"kig"
"321","EFS044",5,146,1997,"kig"
"322","EFS045",5,143,1997,"kig"
"323","EFS048",5,148,1997,"kig"
"324","EFS049",4,142,1997,"kig"
"325","EFS050",4,148,1997,"kig"
"326","EFS052",6,136,1997,"kig"
"327","EFS056",5,146,1997,"kig"
"328","EFS057",2,155,1997,"kig"
"329","EFS058",1,152,1997,"kig"
"330","EFS061",5,151,1997,"kig"
"331","GJH004",5,135,1997,"kig"
"332","GJH015",5,138,1997,"kig"
"333","GJH016",5,135,1997,"kig"
"334","GJH022",7,139,1997,"kig"
"335","GJH025",4,137,1997,"kig"
"336","GJH026",6,134,1997,"kig"
"337","GJH027",5,134,1997,"kig"
"338","GJH028",5,142,1997,"kig"
"339","GJH029",4,136,1997,"kig"
"340","GJH030",6,142,1997,"kig"
"341","GJH031",6,136,1997,"kig"
"342","GJH034",5,141,1997,"kig"
"343","GJH035",5,144,1997,"kig"
"344","GJH037",5,144,1997,"kig"
"345","GJH040",5,142,1997,"kig"
"346","GJH042",5,142,1997,"kig"
"347","GJH043",5,139,1997,"kig"
"348","GJH047",6,143,1997,"kig"
"349","GJH048",5,146,1997,"kig"
"350","GJH049",4,142,1997,"kig"
"351","GJH050",4,148,1997,"kig"
"352","GJH051",4,132,1997,"kig"
"353","GJH052",5,146,1997,"kig"
"354","GJH053",5,149,1997,"kig"
"355","GJH054",6,147,1997,"kig"
"356","GJH057",4,151,1997,"kig"
"357","GJH058",4,149,1997,"kig"
"358","GJH062",3,153,1997,"kig"
"359","GJH064",4,160,1997,"kig"
"360","MMB003",5,136,1997,"kig"
"361","MMB011",5,138,1997,"kig"
"362","MMB013",4,143,1997,"kig"
"363","MMB015",4,137,1997,"kig"
"364","MMB016",6,144,1997,"kig"
"365","MMB018",5,139,1997,"kig"
"366","MMB019",4,139,1997,"kig"
"367","MMB020",5,142,1997,"kig"
"368","MMB021",5,146,1997,"kig"
"369","MMB023",5,140,1997,"kig"
"370","MMB024",5,140,1997,"kig"
"371","MMB027",5,144,1997,"kig"
"372","MMB029",3,150,1997,"kig"
"373","MMB030",6,150,1997,"kig"
"374","MMB031",5,151,1997,"kig"
"375","MMB032",4,150,1997,"kig"
"376","MMB039",4,153,1997,"kig"
"377","MMB040",5,151,1997,"kig"
"378","MMB041",5,146,1997,"kig"
"379","MMB042",4,164,1997,"kig"
"380","TLM002",5,138,1997,"kig"
"381","TLM003",4,138,1997,"kig"
"382","TLM009",4,137,1997,"kig"
"383","TLM016",4,138,1997,"kig"
"384","TLM017",5,141,1997,"kig"
"385","TLM018",5,141,1997,"kig"
"386","TLM020",5,139,1997,"kig"
"387","TLM021",5,139,1997,"kig"
"388","TLM022",3,142,1997,"kig"
"389","TLM023",5,142,1997,"kig"
"390","TLM029",5,142,1997,"kig"
"391","TLM030",5,138,1997,"kig"
"392","TLM032",5,141,1997,"kig"
"393","TLM035",6,138,1997,"kig"
"394","TLM037",3,142,1997,"kig"
"395","TLM038",5,142,1997,"kig"
"396","TLM039",5,142,1997,"kig"
"397","TLM040",5,145,1997,"kig"
"398","TLM048",5,140,1997,"kig"
"399","TLM049",5,147,1997,"kig"
"400","TLM050",6,144,1997,"kig"
"401","TLM054",5,147,1997,"kig"
"402","TLM055",5,144,1997,"kig"
"403","TLM056",4,132,1997,"kig"
"404","TLM057",5,148,1997,"kig"
"405","TLM058",4,148,1997,"kig"
"406","TLM059",5,139,1997,"kig"
"407","TLM060",6,145,1997,"kig"
"408","TLM062",5,148,1997,"kig"
"409","TLM063",6,139,1997,"kig"
"410","TLM064",4,133,1997,"kig"
"411","TLM065",5,143,1997,"kig"
"412","TLM066",6,146,1997,"kig"
"413","TLM067",5,146,1997,"kig"
"414","TLM068",5,146,1997,"kig"
"415","TLM069",5,143,1997,"kig"
"416","TLM070",6,147,1997,"kig"
"417","TLM073",6,134,1997,"kig"
"418","TLM074",6,150,1997,"kig"
"419","TLM076",5,141,1997,"kig"
"420","TLM078",5,144,1997,"kig"
"421","TLM079",5,144,1997,"kig"
"422","TLM080",5,147,1997,"kig"
"423","TLM082",6,144,1997,"kig"
"424","TLM083",4,149,1997,"kig"
"425","TLM084",5,149,1997,"kig"
"426","TLM085",5,152,1997,"kig"
"427","TLM086",5,146,1997,"kig"
"428","TLM088",5,149,1997,"kig"
"429","TLM089",6,150,1997,"kig"
"430","TLM090",4,153,1997,"kig"
"431","TLM091",5,151,1997,"kig"
"432","TLM093",6,155,1997,"kig"
"433","TLM094",6,139,1997,"kig"
"434","TLM095",3,150,1997,"kig"
"435","TLM100",5,158,1997,"kig"
"436","TLM101",4,160,1997,"kig"
"437","TLM103",4,150,1997,"kig"
"438","TLM104",5,162,1997,"kig"
"439","WSK001",4,154,1997,"kig"
"440","DAM001",4,164,1998,"kig"
"441","DAM002",5,155,1998,"kig"
"442","ECH001",4,161,1998,"kig"
"443","GJH001",4,148,1998,"kig"
"444","GJH002",4,152,1998,"kig"
"445","GJH003",4,154,1998,"kig"
"446","GJH007",6,154,1998,"kig"
"447","KLW002",6,144,1998,"kig"
"448","KLW007",6,149,1998,"kig"
"449","KLW012",3,151,1998,"kig"
"450","KLW013",5,151,1998,"kig"
"451","KLW014",5,151,1998,"kig"
"452","KLW017",4,146,1998,"kig"
"453","KLW018",4,156,1998,"kig"
"454","KLW026",5,148,1998,"kig"
"455","KLW028",5,157,1998,"kig"
"456","KLW030",6,149,1998,"kig"
"457","KLW031",4,152,1998,"kig"
"458","KLW032",5,156,1998,"kig"
"459","KLW033",4,153,1998,"kig"
"460","KLW034",5,150,1998,"kig"
"461","KLW035",6,152,1998,"kig"
"462","KLW037",4,151,1998,"kig"
"463","KLW039",5,157,1998,"kig"
"464","KLW041",2,156,1998,"kig"
"465","KLW042",5,143,1998,"kig"
"466","KLW043",5,156,1998,"kig"
"467","KLW044",2,154,1998,"kig"
"468","KLW045",5,145,1998,"kig"
"469","KLW052",6,155,1998,"kig"
"470","RMA001",5,160,1998,"kig"
"471","TLM015",5,147,1998,"kig"
"472","TLM020",5,148,1998,"kig"
"473","TLM021",5,149,1998,"kig"
"474","TLM026",6,147,1998,"kig"
"475","TLM027",5,144,1998,"kig"
"476","TLM029",4,150,1998,"kig"
"477","TLM030",4,150,1998,"kig"
"478","TLM033",4,150,1998,"kig"
"479","TLM034",5,148,1998,"kig"
"480","TLM040",5,149,1998,"kig"
"481","TLM042",5,152,1998,"kig"
"482","TLM043",3,152,1998,"kig"
"483","TLM045",3,153,1998,"kig"
"484","TLM046",4,154,1998,"kig"
"485","TLM056",5,155,1998,"kig"
"486","TLM059",6,154,1998,"kig"
"487","TLM060",5,155,1998,"kig"
"488","TLM061",5,155,1998,"kig"
"489","TLM062",5,156,1998,"kig"
"490","TLM067",4,156,1998,"kig"
"491","TLM068",3,149,1998,"kig"
"492","TLM070",4,153,1998,"kig"
"493","TLM073",5,153,1998,"kig"
"494","TLM074",4,154,1998,"kig"
"495","TLM077",4,157,1998,"kig"
"496","TLM078",3,148,1998,"kig"
"497","TLM079",5,156,1998,"kig"
"498","TLM080",3,154,1998,"kig"
"499","TLM082",5,155,1998,"kig"
"500","TLM083",5,151,1998,"kig"
"501","TLM086",5,151,1998,"kig"
"502","TLM089",5,155,1998,"kig"
"503","TLM094",5,156,1998,"kig"
"504","TLM095",3,159,1998,"kig"
"505","TLM096",5,153,1998,"kig"
"506","TLM097",5,156,1998,"kig"
"507","TLM098",5,159,1998,"kig"
"508","TLM100",5,150,1998,"kig"
"509","TLM102",5,159,1998,"kig"
"510","TLM103",4,150,1998,"kig"
"511","TLM104",3,156,1998,"kig"
"512","TLM105",5,150,1998,"kig"
"513","TLM106",5,156,1998,"kig"
"514","TLM107",5,156,1998,"kig"
"515","TLM109",4,159,1998,"kig"
"516","TLM112",2,151,1998,"kig"
"517","TLM113",5,160,1998,"kig"
"518","TLM117",4,154,1998,"kig"
"519","TLM118",3,160,1998,"kig"
"520","TLM123",5,154,1998,"kig"
"521","TLM124",4,155,1998,"kig"
"522","TLM126",3,152,1998,"kig"
"523","TLM128",5,155,1998,"kig"
"524","TLM135",3,153,1998,"kig"
"525","TLM136",5,153,1998,"kig"
"526","TLM140",6,154,1998,"kig"
"527","TLM141",3,160,1998,"kig"
"528","TLM142",5,160,1998,"kig"
"529","TLM146",6,160,1998,"kig"
"530","TLM153",4,159,1998,"kig"
"531","TLM154",5,156,1998,"kig"
"532","TLM157",4,163,1998,"kig"
"533","TLM158",5,157,1998,"kig"
"534","TLM159",4,163,1998,"kig"
"535","TLM163",4,157,1998,"kig"
"536","TLM164",4,161,1998,"kig"
"537","TLM165",4,167,1998,"kig"
"538","TLM166",2,159,1998,"kig"
"539","TLM167",4,149,1998,"kig"
"540","TLM169",2,162,1998,"kig"
"541","TLM170",3,162,1998,"kig"
"542","TLM171",4,152,1998,"kig"
"543","TLM172",4,152,1998,"kig"
"544","TLM174",4,151,1998,"kig"
"545","TLM175",5,158,1998,"kig"
"546","TLM176",4,156,1998,"kig"
"547","TLM177",2,156,1998,"kig"
"548","TLM178",3,164,1998,"kig"
"549","TLM179",5,156,1998,"kig"
"550","AQ001",4,164,1999,"kig"
"551","CLR002",6,158,1999,"kig"
"552","CLR006",3,150,1999,"kig"
"553","CLR007",4,159,1999,"kig"
"554","CLR015",4,161,1999,"kig"
"555","CLR033",4,162,1999,"kig"
"556","CLR034",5,144,1999,"kig"
"557","CLR036",5,152,1999,"kig"
"558","CLR043",5,163,1999,"kig"
"559","CLR048",5,158,1999,"kig"
"560","CLR057",5,165,1999,"kig"
"561","GJH002",6,149,1999,"kig"
"562","GJH005",3,150,1999,"kig"
"563","GJH009",4,152,1999,"kig"
"564","GJH019",6,151,1999,"kig"
"565","GJH020",6,154,1999,"kig"
"566","GJH027",6,153,1999,"kig"
"567","GJH028",5,153,1999,"kig"
"568","GJH034",4,147,1999,"kig"
"569","GJH035",5,153,1999,"kig"
"570","GJH045",5,152,1999,"kig"
"571","GJH051",4,156,1999,"kig"
"572","GJH052",5,152,1999,"kig"
"573","GJH054",5,153,1999,"kig"
"574","GJH056",5,159,1999,"kig"
"575","GJH057",5,155,1999,"kig"
"576","GJH058",4,159,1999,"kig"
"577","GJH060",5,160,1999,"kig"
"578","GJH062",3,157,1999,"kig"
"579","GJH063",4,154,1999,"kig"
"580","GJH066",5,155,1999,"kig"
"581","GJH069",4,158,1999,"kig"
"582","GJH074",4,155,1999,"kig"
"583","GJH075",5,145,1999,"kig"
"584","GJH076",7,158,1999,"kig"
"585","GJH077",5,149,1999,"kig"
"586","GJH081",6,156,1999,"kig"
"587","GJH089",4,158,1999,"kig"
"588","GJH090",3,161,1999,"kig"
"589","GJH092",4,158,1999,"kig"
"590","GJH093",6,146,1999,"kig"
"591","GJH096",5,146,1999,"kig"
"592","GJH098",5,152,1999,"kig"
"593","GJH100",5,159,1999,"kig"
"594","GJH111",5,155,1999,"kig"
"595","GJH114",5,158,1999,"kig"
"596","GJH115",5,166,1999,"kig"
"597","GJH117",5,151,1999,"kig"
"598","GJH120",3,176,1999,"kig"
"599","PD001",5,152,1999,"kig"
"600","TLM002",5,146,1999,"kig"
"601","TLM003",5,149,1999,"kig"
"602","TLM006",5,146,1999,"kig"
"603","TLM014",5,150,1999,"kig"
"604","TLM015",5,150,1999,"kig"
"605","TLM020",6,151,1999,"kig"
"606","TLM024",5,149,1999,"kig"
"607","TLM026",6,152,1999,"kig"
"608","TLM028",4,152,1999,"kig"
"609","TLM029",4,152,1999,"kig"
"610","TLM034",3,153,1999,"kig"
"611","TLM035",5,153,1999,"kig"
"612","TLM037",6,153,1999,"kig"
"613","TLM038",3,153,1999,"kig"
"614","TLM042",5,154,1999,"kig"
"615","TLM044",6,154,1999,"kig"
"616","TLM050",4,156,1999,"kig"
"617","TLM051",6,156,1999,"kig"
"618","TLM054",5,156,1999,"kig"
"619","TLM055",3,156,1999,"kig"
"620","TLM057",6,156,1999,"kig"
"621","TLM059",5,154,1999,"kig"
"622","TLM061",6,153,1999,"kig"
"623","TLM063",5,151,1999,"kig"
"624","TLM064",5,154,1999,"kig"
"625","TLM067",5,151,1999,"kig"
"626","TLM068",6,156,1999,"kig"
"627","TLM069",4,157,1999,"kig"
"628","TLM071",5,157,1999,"kig"
"629","TLM073",5,157,1999,"kig"
"630","TLM075",5,154,1999,"kig"
"631","TLM081",4,159,1999,"kig"
"632","TLM082",5,159,1999,"kig"
"633","TLM083",6,159,1999,"kig"
"634","TLM084",5,152,1999,"kig"
"635","TLM087",5,160,1999,"kig"
"636","TLM089",5,160,1999,"kig"
"637","TLM090",4,160,1999,"kig"
"638","TLM091",4,157,1999,"kig"
"639","TLM093",6,152,1999,"kig"
"640","TLM094",4,161,1999,"kig"
"641","TLM095",5,161,1999,"kig"
"642","TLM097",6,161,1999,"kig"
"643","TLM099",5,156,1999,"kig"
"644","TLM100",5,153,1999,"kig"
"645","TLM101",6,156,1999,"kig"
"646","TLM102",4,162,1999,"kig"
"647","TLM104",6,159,1999,"kig"
"648","TLM106",6,154,1999,"kig"
"649","TLM113",3,156,1999,"kig"
"650","TLM119",6,164,1999,"kig"
"651","TLM120",5,158,1999,"kig"
"652","TLM123",4,156,1999,"kig"
"653","TLM125",6,156,1999,"kig"
"654","TLM126",6,162,1999,"kig"
"655","TLM127",3,156,1999,"kig"
"656","TLM128",5,159,1999,"kig"
"657","TLM129",5,156,1999,"kig"
"658","TLM130",6,156,1999,"kig"
"659","TLM131",5,159,1999,"kig"
"660","TLM135",5,168,1999,"kig"
"661","TLM136",4,159,1999,"kig"
"662","TLM140",4,167,1999,"kig"
"663","TLM141",4,167,1999,"kig"
"664","TLM147",4,163,1999,"kig"
"665","TLM148",5,163,1999,"kig"
"666","TLM161",4,158,1999,"kig"
"667","TLM164",4,169,1999,"kig"
"668","TLM166",4,169,1999,"kig"
"669","TLM168",4,170,1999,"kig"
"670","MLS060",5,155,2000,"kig"
"671","BG010",3,149,2000,"kig"
"672","BG011",4,152,2000,"kig"
"673","BG005",4,147,2000,"kig"
"674","BG008",7,149,2000,"kig"
"675","BG016",6,151,2000,"kig"
"676","BG017",4,154,2000,"kig"
"677","BG018",5,154,2000,"kig"
"678","BG026",6,155,2000,"kig"
"679","BG027",6,149,2000,"kig"
"680","BG029",6,155,2000,"kig"
"681","BG034",1,155,2000,"kig"
"682","BG036",7,154,2000,"kig"
"683","BG037",6,157,2000,"kig"
"684","BG038",6,154,2000,"kig"
"685","BG040",5,157,2000,"kig"
"686","BG041",6,151,2000,"kig"
"687","BG047",7,154,2000,"kig"
"688","BG048",5,154,2000,"kig"
"689","BG050",6,152,2000,"kig"
"690","BG055",5,155,2000,"kig"
"691","BG056",6,155,2000,"kig"
"692","BG058",6,153,2000,"kig"
"693","BG063",6,150,2000,"kig"
"694","BG066",6,154,2000,"kig"
"695","BG076",5,152,2000,"kig"
"696","BG077",6,152,2000,"kig"
"697","BG079",5,155,2000,"kig"
"698","BG080",5,158,2000,"kig"
"699","BG090",5,160,2000,"kig"
