"","Nest","maxclutch","year","site"
"319","EFS038",4,1997,"kig"
"320","EFS042",6,1997,"kig"
"321","EFS044",5,1997,"kig"
"322","EFS045",5,1997,"kig"
"323","EFS048",5,1997,"kig"
"324","EFS049",4,1997,"kig"
"325","EFS050",4,1997,"kig"
"326","EFS052",6,1997,"kig"
"327","EFS056",5,1997,"kig"
"328","EFS057",2,1997,"kig"
"329","EFS058",1,1997,"kig"
"330","EFS061",5,1997,"kig"
"331","GJH004",5,1997,"kig"
"332","GJH015",5,1997,"kig"
"333","GJH016",5,1997,"kig"
"334","GJH022",7,1997,"kig"
"335","GJH025",4,1997,"kig"
"336","GJH026",6,1997,"kig"
"337","GJH027",5,1997,"kig"
"338","GJH028",5,1997,"kig"
"339","GJH029",4,1997,"kig"
"340","GJH030",6,1997,"kig"
"341","GJH031",6,1997,"kig"
"342","GJH034",5,1997,"kig"
"343","GJH035",5,1997,"kig"
"344","GJH037",5,1997,"kig"
"345","GJH040",5,1997,"kig"
"346","GJH042",5,1997,"kig"
"347","GJH043",5,1997,"kig"
"348","GJH047",6,1997,"kig"
"349","GJH048",5,1997,"kig"
"350","GJH049",4,1997,"kig"
"351","GJH050",4,1997,"kig"
"352","GJH051",4,1997,"kig"
"353","GJH052",5,1997,"kig"
"354","GJH053",5,1997,"kig"
"355","GJH054",6,1997,"kig"
"356","GJH057",4,1997,"kig"
"357","GJH058",4,1997,"kig"
"358","GJH062",3,1997,"kig"
"359","GJH064",4,1997,"kig"
"360","MMB003",5,1997,"kig"
"361","MMB011",5,1997,"kig"
"362","MMB013",4,1997,"kig"
"363","MMB015",4,1997,"kig"
"364","MMB016",6,1997,"kig"
"365","MMB018",5,1997,"kig"
"366","MMB019",4,1997,"kig"
"367","MMB020",5,1997,"kig"
"368","MMB021",5,1997,"kig"
"369","MMB023",5,1997,"kig"
"370","MMB024",5,1997,"kig"
"371","MMB027",5,1997,"kig"
"372","MMB029",3,1997,"kig"
"373","MMB030",6,1997,"kig"
"374","MMB031",5,1997,"kig"
"375","MMB032",4,1997,"kig"
"376","MMB039",4,1997,"kig"
"377","MMB040",5,1997,"kig"
"378","MMB041",5,1997,"kig"
"379","MMB042",4,1997,"kig"
"380","TLM002",5,1997,"kig"
"381","TLM003",4,1997,"kig"
"382","TLM009",4,1997,"kig"
"383","TLM016",4,1997,"kig"
"384","TLM017",5,1997,"kig"
"385","TLM018",5,1997,"kig"
"386","TLM020",5,1997,"kig"
"387","TLM021",5,1997,"kig"
"388","TLM022",3,1997,"kig"
"389","TLM023",5,1997,"kig"
"390","TLM029",5,1997,"kig"
"391","TLM030",5,1997,"kig"
"392","TLM032",5,1997,"kig"
"393","TLM035",6,1997,"kig"
"394","TLM037",3,1997,"kig"
"395","TLM038",5,1997,"kig"
"396","TLM039",5,1997,"kig"
"397","TLM040",5,1997,"kig"
"398","TLM048",5,1997,"kig"
"399","TLM049",5,1997,"kig"
"400","TLM050",6,1997,"kig"
"401","TLM054",5,1997,"kig"
"402","TLM055",5,1997,"kig"
"403","TLM056",4,1997,"kig"
"404","TLM057",5,1997,"kig"
"405","TLM058",4,1997,"kig"
"406","TLM059",5,1997,"kig"
"407","TLM060",6,1997,"kig"
"408","TLM062",5,1997,"kig"
"409","TLM063",6,1997,"kig"
"410","TLM064",4,1997,"kig"
"411","TLM065",5,1997,"kig"
"412","TLM066",6,1997,"kig"
"413","TLM067",5,1997,"kig"
"414","TLM068",5,1997,"kig"
"415","TLM069",5,1997,"kig"
"416","TLM070",6,1997,"kig"
"417","TLM073",6,1997,"kig"
"418","TLM074",6,1997,"kig"
"419","TLM076",5,1997,"kig"
"420","TLM078",5,1997,"kig"
"421","TLM079",5,1997,"kig"
"422","TLM080",5,1997,"kig"
"423","TLM082",6,1997,"kig"
"424","TLM083",4,1997,"kig"
"425","TLM084",5,1997,"kig"
"426","TLM085",5,1997,"kig"
"427","TLM086",5,1997,"kig"
"428","TLM088",5,1997,"kig"
"429","TLM089",6,1997,"kig"
"430","TLM090",4,1997,"kig"
"431","TLM091",5,1997,"kig"
