"STATION","NAME","DATE","AWND","FMTM","PGTM","TAVG","TMAX","TMIN","WDF1","WDF2","WDF5","WDFG","WDFM","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-03-30","9.6"," 1241"," 0215",,"-7.2","-10.6","  340",,,"  360",,"11.2",,,"13.4",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-03-31","8.0"," 1853"," 2131",,"-5.0","-10.6","  350",,,"  360",,"11.6",,,"14.4",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-04-01","10.8"," 1653"," 1752",,"-8.9","-11.7","  330",,,"  315",,"13.4",,,"16.4",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-04-02","10.2"," 0656"," 0422",,"-8.9","-12.2","  330",,,"  360",,"13.0",,,"15.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-04-03","9.8"," 0150"," 1141",,"-7.8","-12.2","  330",,,"  360",,"12.5",,,"13.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-04-04","9.3"," 1451"," 1242",,"-7.2","-10.0","  330",,,"  315",,"11.2",,,"14.4",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-04-05","3.1"," 2353"," 0221",,"-3.9","-13.3","  310",,,"  315",,"6.3",,,"8.7",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-04-06","3.8"," 0652"," 1905",,"-6.7","-15.0","  350",,,"  360",,"5.8",,,"6.7",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-04-07","3.3"," 1756"," 1615",,"-8.3","-19.4","  300",,,"  315",,"4.5",,,"6.2",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-04-08","4.6"," 1559"," 1309",,"1.7","-15.6","  220",,,"  180",,"6.7",,,"8.7",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-04-09","6.8"," 2351"," 2350",,"0.0","-8.3","   80",,,"   90",,"16.5",,,"22.1",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-04-10","13.9"," 0252"," 0359",,"1.7","-2.2","   80",,,"   90",,"18.3",,,"25.7",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-04-11","11.4"," 0029"," 0153",,"-1.7","-5.0","   20",,,"  360",,"13.9",,,"15.4",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-04-12","9.3"," 1352"," 0346",,"-0.6","-5.6","  320",,,"  315",,"11.6",,,"14.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-04-13","4.0"," 1053"," 1446",,"1.1","-2.2","  300",,,"  270",,"5.8",,,"7.2",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-04-14","3.9"," 2255"," 2345",,"0.6","-2.8","   10",,,"  360",,"7.6",,,"8.7",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-04-15","9.7"," 1158"," 1136",,"0.0","-2.8","  340",,,"  360",,"12.5",,,"14.4",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-04-16","8.7"," 1254"," 0608",,"-0.6","-3.9","  320",,,"  315",,"10.7",,,"13.9",
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","1988-04-17","7.7"," 1352"," 1338",,"0.6","-3.9","  190",,,"  180",,"12.5",,,"14.9",
